AS, node_degree, IP_prefix_count, class
5006, 13, 75, Transit
5009, 10, 15, Transit
5017, 7, 19, Transit
5050, 14, 19, Transit
5056, 42, 470, Transit
5061, 1, 28, Transit
5071, 3, 7, Transit
5078, 20, 89, Transit
5089, 195, 327, Transit
5104, 1, 2, Transit
5107, 1, 2, Transit
5378, 4, 1, Transit
5379, 2, 4, Transit
5381, 3, 16, Transit
5384, 30, 341, Transit
5385, 6, 36, Transit
5386, 2, 2, Transit
5387, 2, 13, Transit
5390, 36, 7, Content
5391, 77, 30, Transit
5392, 202, 1, Transit
5394, 61, 10, Transit
5396, 189, 34, Transit
5397, 8, 2, Transit
5400, 142, 82, Transit
5403, 15, 18, Transit
5404, 39, 24, Transit
5408, 22, 22, Transit
5409, 38, 4, Transit
5410, 45, 152, Content
5413, 278, 88, Transit
5416, 6, 161, Transit
5418, 12, 1, Content
5425, 1, 45, Transit
5429, 36, 6, Transit
5430, 33, 12, Transit
5432, 5, 47, Transit
5433, 3, 4, Transit
5435, 8, 2, Transit
5438, 5, 9, Transit
5459, 449, 4, Transit
5463, 2, 2, Content
5466, 90, 29, Transit
5467, 13, 9, Transit
5468, 1, 3, Transit
5483, 154, 106, Transit
5484, 3, 30, Transit
5486, 4, 1, Transit
5488, 29, 22, Transit
5495, 10, 27, Transit
5500, 37, 6, Content
5503, 464, 14, Transit
5504, 3, 19, Transit
5505, 3, 6, Transit
5511, 163, 105, Transit
5518, 55, 24, Transit
5521, 38, 5, Transit
5523, 11, 5, Transit
5524, 53, 10, Transit
5526, 252, 0, Transit
5532, 3, 20, Transit
5537, 51, 6, Transit
5538, 12, 8, Transit
5539, 40, 14, Transit
5541, 46, 24, Transit
5547, 5, 19, Transit
5550, 5, 1, Transit
5555, 12, 23, Transit
5563, 107, 22, Transit
5564, 455, 8, Transit
5568, 55, 15, Transit
5576, 1, 18, Transit
5577, 10, 22, Transit
5578, 70, 20, Transit
5580, 183, 101, Transit
5582, 3, 2, Transit
5583, 61, 1, Transit
5588, 771, 258, Transit
5602, 37, 86, Transit
5603, 120, 61, Transit
5605, 46, 10, Transit
5606, 1, 1, Transit
5607, 39, 21, Transit
5610, 36, 72, Transit
5615, 8, 16, Content
5617, 231, 69, Transit
5627, 1, 1, unclassified
5631, 455, 17, Content
5639, 4, 210, Transit
5645, 26, 74, Transit
5650, 166, 817, Transit
5661, 1, 1, unclassified
5662, 8, 5, Transit
5664, 9, 2, Transit
5668, 3, 3, Transit
5669, 1, 47, Transit
5690, 13, 30, Transit
5691, 1, 18, Transit
5693, 13, 21, Transit
5713, 527, 112, Transit
5714, 1, 77, Transit
5715, 7, 90, Transit
5725, 1, 0, Transit
5726, 15, 11, Transit
5730, 1, 0, Transit
5738, 28, 98, Transit
5740, 5, 11, Content
5742, 3, 13, Transit
5760, 7, 25, Transit
5766, 1, 8, unclassified
5769, 237, 329, Transit
5794, 3, 12, Transit
5819, 1, 4, unclassified
6034, 2, 65, Transit
6035, 1, 74, unclassified
6045, 1, 10, unclassified
6057, 36, 582, Transit
6059, 11, 6, Transit
6062, 3, 27, Transit
6067, 29, 11, Transit
6079, 207, 37, Transit
6082, 70, 16, Content
6102, 4, 20, Content
6122, 10, 16, Transit
6128, 436, 104, Transit
6130, 28, 120, Transit
6140, 1, 3, Transit
6147, 4, 1273, Transit
6167, 1, 105, Transit
6169, 2, 4, Content
6181, 72, 100, Transit
6197, 1, 17, Transit
6203, 4, 22, Transit
6221, 8, 12, Transit
6222, 2, 39, Transit
6223, 12, 3, Transit
6224, 2, 0, Transit
6254, 1, 9, Transit
6261, 1, 5, Transit
6295, 6, 9, Transit
6296, 3, 47, Transit
6300, 9, 16, Transit
6303, 1, 16, Transit
6306, 3, 85, Transit
6307, 12, 36, Content
